WP,FlatMassQCDEff_0p25,FlatMassQCDEff_0p30,FlatMassQCDEff_0p37,FlatMassQCDEff_0p46,FlatMassQCDEff_0p58,FlatMassQCDEff_0p74,FlatMassQCDEff_0p94,FlatMassQCDEff_1p25,FlatMassQCDEff_1p55
( M()>=40.0 && M() < 41.0),3.7593599908930986,3.5901618578662817,3.3789249319421297,3.1698449980549253,2.9350180387626814,2.6824230892682355,2.4448608795055984,2.1311259651458054,1.868786660091198
( M()>=41.0 && M() < 42.0),3.781731375699938,3.609946530882631,3.3975398799391336,3.188036235389475,2.951284220297412,2.6931676388879193,2.451010598462043,2.1304304717254943,1.8665972609580426
( M()>=42.0 && M() < 43.0),3.8051973947769318,3.6308455868720224,3.4173372887163107,3.207098178648233,2.968154616179552,2.7045364966442484,2.4576972976868463,2.1300935301767807,1.864636321590971
( M()>=43.0 && M() < 44.0),3.8295907910049527,3.6527036379544056,3.4381651006086384,3.226913679587045,2.985549784083802,2.716471252096319,2.4648808233766366,2.1301167764511626,1.8629148069453516
( M()>=44.0 && M() < 45.0),3.8547443072648715,3.6753652962497303,3.4598712579510944,3.2473655899617584,3.003390281684867,2.728913494803225,2.472521021728042,2.1305018465001333,1.8614436819765507
( M()>=45.0 && M() < 46.0),3.8804906864375583,3.6986751738779455,3.4823037030786566,3.2683367615282193,3.0215966666574476,2.7418048143240634,2.480577738937694,2.1312503762751915,1.8602339116399358
( M()>=46.0 && M() < 47.0),3.906662671403886,3.7224778829590033,3.505310378326302,3.2897100460422757,3.040089496676249,2.7550868002179305,2.489010821202221,2.132364001727833,1.8592964608908749
( M()>=47.0 && M() < 48.0),3.9330930050447264,3.7466180356128516,3.5287392260290082,3.3113682952597743,3.0587893294159736,2.7687010420439204,2.4977801147182523,2.1338443588095526,1.8586422946847347
( M()>=48.0 && M() < 49.0),3.9596144302409493,3.7709402439594424,3.5524381885217533,3.333194360936561,3.0776167225513227,2.7825891293611305,2.5068454656824173,2.135693083471848,1.8582823779768831
( M()>=49.0 && M() < 50.0),3.9860596898734277,3.7952891201187247,3.576255208139515,3.3550710948284825,3.096492233757001,2.7966926517286557,2.516166720291346,2.137911811666214,1.858227675722687
( M()>=50.0 && M() < 51.0),4.012261526823032,3.8195092762106473,3.6000382272172695,3.376881348691387,3.11533642070771,2.8109531987055916,2.525703724741667,2.1405021793441477,1.858489152877514
( M()>=51.0 && M() < 52.0),4.038055544539714,3.8434479844884475,3.6236374857795477,3.398510084853099,3.134071359199575,2.8253132628283457,2.535416973025609,2.143465613007916,1.8590772863526424
( M()>=52.0 && M() < 53.0),4.06331241238869,3.8669851261044097,3.6469313897804203,3.419868137814482,3.1526377347233803,2.839726405663649,2.5452749000537773,2.146800971653568,1.859996570434156
( M()>=53.0 && M() < 54.0),4.087926314036806,3.890022448900522,3.6698172325224814,3.440883691290753,3.170988711952905,2.854153611385506,2.5552512657125686,2.1505053925734634,1.8612474876134266
( M()>=54.0 && M() < 55.0),4.111791867109835,3.9124621042708445,3.6921926558763407,3.4614852491787174,3.1890776858665713,2.8685560011529256,2.5653199281613746,2.1545759812857384,1.8628304463437304
( M()>=55.0 && M() < 56.0),4.1348036892335465,3.934206243609434,3.713955301712608,3.4816013153751793,3.2068580514428002,2.882894696124917,2.575454745559583,2.159009843308527,1.8647458550783431
( M()>=56.0 && M() < 57.0),4.1568579445714535,3.9551584905488277,3.7350042307981974,3.5011614053856666,3.224283830370497,2.897131220743286,2.585629734433398,2.163803895951127,1.8669938877357144
( M()>=57.0 && M() < 58.0),4.177890279895949,3.975260054494232,3.755274727864248,3.5201208607595875,3.241325044054714,2.911237395129367,2.595822954362594,2.168950251611967,1.8695687306359279
( M()>=58.0 && M() < 59.0),4.19787812870877,3.9944919240486927,3.774740415559071,3.5384623562428184,3.2579686473258085,2.9251959359178246,2.606016743924464,2.174435937374302,1.8724582330772912
( M()>=59.0 && M() < 60.0),4.216800932338262,4.012836999181211,3.793376758644283,3.5561698799244907,3.2742024086547916,2.938990083314076,2.616193647299496,2.1802477359751258,1.8756499398681172
( M()>=60.0 && M() < 61.0),4.2346381321127735,4.030278179860791,3.8111592218815056,3.5732274198937404,3.2900140965126794,2.9526030775235412,2.6263362086681794,2.1863724301514336,1.879131395816721
( M()>=61.0 && M() < 62.0),4.251369519810521,4.046798692379722,3.8280636006613418,3.5896191785713905,3.3053916085179575,2.9660182522499023,2.636427010589381,2.192796744042197,1.882890086790527
( M()>=62.0 && M() < 63.0),4.2670010718434375,4.062406144993276,3.8440903940469755,3.60534537264259,3.32033249182697,2.97922592712572,2.646451503147126,2.1995030235063484,1.8869090947587779
( M()>=63.0 && M() < 64.0),4.281582632160853,4.077148993450884,3.8592814875610197,3.6204330477466953,3.334850459621809,2.992228125422387,2.6563999404363927,2.2064662793999417,1.8911641237693608
( M()>=64.0 && M() < 65.0),4.295168229676182,4.091079590353876,3.873682714995275,3.6349118090059243,3.3489607673237947,3.005027986938715,2.6662630348549117,2.213660822819588,1.8956301740162926
( M()>=65.0 && M() < 66.0),4.307811893302847,4.104250288303575,3.887339910141546,3.648811261542491,3.362678670354253,3.0176286514735144,2.6760314988004166,2.221060964861897,1.9002822456935906
( M()>=66.0 && M() < 67.0),4.3195676642603456,4.116713450008302,3.900298918487889,3.662161016784044,3.376019427859251,3.0300332676230477,2.685696055611834,2.2286410240911967,1.9050953467458507
